"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ACER3" 1661.095398895 -0.121260650064186 0.524743021246746 -0.231085779427958 0.817248162532623 0.999333640143859
"ACHE" 10.8685419190539 -2.19002205067626 3.64566259040465 -0.600719895593294 0.548026565296382 NA
"ACIN1" 2443.85606491726 -0.0155785762609326 0.404241856391174 -0.0385377615272417 0.96925892448894 0.999333640143859
"ACKR1" 314.023462789313 1.04863611447777 1.08073472564227 0.970299269188906 0.331897341464066 0.923015345005475
"ACKR2" 196.555733694348 -0.20897891808134 0.666679032954323 -0.313462562569683 0.753929259205323 0.999333640143859
"ACKR3" 1902.22152848652 0.499007548716673 0.720187327087461 0.692885767283255 0.488381242237293 0.982448199496543
"ACKR4" 83.854801944202 1.56058334403431 1.08959375342096 1.43226164718236 0.152068954836765 0.737821729776831
"ACKR4P1" 3.79922480994971 -0.942428202744067 3.36510205337755 -0.280059322955199 0.779431991948661 NA
"ACLY" 1105.06833335552 1.29072040958868 0.434978165564678 2.96732229746085 0.00300405877646735 0.0960818136735001
"ACMSD" 23.0960731077822 1.62754206367419 1.87118371847346 0.869792766795749 0.384413665054244 NA
"ACNATP" 0 NA NA NA NA NA
"ACO1" 1166.97597055468 0.273269403137964 0.71397150217845 0.382745532985801 0.70190845004445 0.999333640143859
"ACO2" 988.208421125089 0.0218257787337991 0.451541438042586 0.0483361589767108 0.961448337524436 0.999333640143859
"ACOD1" 0 NA NA NA NA NA
"ACOT1" 25.00060705222 -0.363741648827315 1.53150805218118 -0.237505541227336 0.812264620895989 NA
"ACOT11" 1094.968870181 -0.0274939828984407 0.63602342215166 -0.0432279408915931 0.965519832290487 0.999333640143859
"ACOT12" 1.92166896604349 -3.32066961493494 4.71821235179641 -0.703798253944766 0.481558421239931 NA
"ACOT13" 303.993008399 -0.404395110067434 0.541270047612888 -0.747122645804805 0.454989531687261 0.976239674785287
"ACOT2" 142.212188059954 -0.810640285661939 0.740775445372691 -1.09431311570283 0.273817674939171 0.885836212987974
"ACOT4" 19.3322655614099 -0.783595891799151 1.7506466127815 -0.447603694588105 0.654439236289356 NA
"ACOT6" 1.52609519164947 -0.102144330302031 4.32648328339611 -0.0236090893252804 0.981164421939976 NA
"ACOT7" 159.644933481899 -3.40491725384108 0.689889406456851 -4.93545374370673 7.99646317998237e-07 0.000196357595864011
"ACOT8" 229.456197172151 8.95977768657609 2.22441064976492 4.02793328089981 5.6269305472832e-05 0.00537337133126365
"ACOT9" 709.557342762615 0.142307047167526 0.479656433152532 0.296685371719537 0.766706726148643 0.999333640143859
"ACOX1" 995.213188048035 0.939553003165337 0.676916991958591 1.38798850424309 0.165140545672261 0.76529650824892
"ACOX2" 173.382655409874 -0.447437880680891 0.894555339348131 -0.500179095691209 0.616948976332679 0.998095225096172
"ACOX3" 277.030499139169 -0.657255354601779 0.935095030433599 -0.702875465285077 0.482133362280604 0.981683886113947
"ACOXL" 138.007059441638 -1.07885554697423 0.740895143548867 -1.4561514626841 0.145350753793222 0.724495822306327
"ACP1" 544.94902708894 0.122219317072071 0.679078945618557 0.179978068618729 0.857169785747416 0.999333640143859
"ACP2" 540.154286351324 -0.197142318384481 0.735507636504389 -0.268035719277409 0.788671824332305 0.999333640143859
"ACP3" 275.727327634385 0.843763854494999 0.844635427527868 0.998968107417161 0.317810141105644 0.913851836971062
"ACP4" 3.21073556079259 -2.05581993034514 3.32685380112679 -0.617947181703278 0.536610156133349 NA
"ACP5" 363.507086278943 -0.749548027149723 0.945355310023371 -0.792874403097385 0.427851002003818 0.965367637605858
"ACP6" 266.728532984648 -0.563288718605007 1.16258732865213 -0.484513038051144 0.628021813570882 0.998095225096172
"ACP7" 80.1049280722092 1.19280933842641 1.16856364769731 1.02074828425211 0.30737371196606 0.908130853801485
"ACR" 2.80320075729752 -0.705809245366295 3.49695085075055 -0.201835620656437 0.840045233326243 NA
"ACRBP" 25.1905273961478 -0.242610389032511 1.77063539894104 -0.13701882904725 0.891015912052275 NA
"ACRP1" 0.114428002363604 -0.443665329080849 5.73869855625423 -0.0773111402754074 0.938376028775352 NA
"ACRV1" 0.305680445739719 -2.32632087553259 5.77037181930382 -0.403149216095619 0.686838456426506 NA
"ACSBG1" 148.928868217155 -0.257557475932947 1.3972333463404 -0.184333902857053 0.853751518970748 0.999333640143859
"ACSBG2" 20.2049090444992 0.375219668892961 1.84648998950533 0.203206987866467 0.838973251254274 NA
"ACSF2" 249.043731386238 -2.31483541757624 0.770247126109414 -3.00531522820303 0.00265305734364005 0.0892257162418669
"ACSF3" 815.894221754946 -0.518725844565357 0.660725263206488 -0.785085531689813 0.432403422054926 0.966475465859665
"ACSL1" 2193.15727173401 1.15658171630389 0.955976621789267 1.20984309651752 0.226339105656166 0.840889652303813
"ACSL3" 1298.17660500163 0.603942654414693 0.663952305479393 0.909617527389453 0.363024251792475 0.939442026374348
"ACSL4" 1797.68541422388 -0.0174769605554778 0.506968148644474 -0.0344734883290153 0.972499583027112 0.999333640143859
"ACSL5" 501.716186566002 -0.77986534203886 1.50951141833435 -0.516634278195387 0.605411482386259 0.998095225096172
"ACSL6" 131.37759434378 0.979012676521551 0.81296865493964 1.20424406349866 0.228495259593154 0.841824640606356
